Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,OldestDataDate,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
ATO,16624775000,NYSE,148462000,137807000,357671000,271860000,71643000,128547000,324999000,249209000,48720000.0,1999-12-31,13192023.0,17508660.0,16594989.0,13360618.0,16768895.0,25640458.0,14844350.0,21126885.0,15467902.0,14061131.0,20384973.0,20120512.0,17248741.0,16727914.0,24164135.0,16167863.0,17024413.0,24079185.0,19041734.0,25802801.0,23641261.0,24524462.0,28945191.0,19484572.0
AVB,25054462000,NYSE,142016000,367923000,146902000,241293000,494747000,138691000,262044000,335209000,78914000.0,1999-12-31,8443609.0,13452046.0,12524952.0,14753391.0,15144561.0,13961527.0,18348669.0,18975111.0,17368481.0,17117079.0,15946930.0,20613216.0,16678609.0,15296080.0,13614361.0,14166397.0,17522370.0,18661343.0,16750071.0,14391359.0,13335612.0,14640835.0,16920891.0,12815317.0
AVGO,364519293000,NASDAQ,412735000,3303000000,3481000000,3774000000,3359000000,3074000000,2590000000,2472000000,1989000000.0,,27401040.0,48036085.0,50364266.0,48919999.0,73742147.0,70272948.0,31290675.0,60280066.0,37615315.0,44559905.0,53360264.0,46078358.0,48153340.0,57348125.0,39870067.0,39440815.0,46829524.0,60933585.0,42488523.0,54974241.0,45150977.0,62674774.0,60258010.0,34352805.0
AVY,14721672000,NYSE,80583000,100400000,121200000,122900000,221500000,214500000,198200000,182700000,164100000.0,,5401482.0,9200056.0,9643792.0,13307438.0,11087475.0,14015627.0,10910572.0,10510431.0,11963668.0,8866891.0,10300557.0,11467194.0,11512637.0,9556168.0,8398171.0,9136702.0,11671259.0,11900540.0,14375410.0,16018572.0,13734980.0,8998401.0,8159698.0,8853446.0
AWK,22978728000,NYSE,194669000,280000000,170000000,147000000,297000000,218000000,158000000,645000000,278000000.0,2008-05-30,19002991.0,21833389.0,19498609.0,17767561.0,22235510.0,18423095.0,15394832.0,39391165.0,22166871.0,14645589.0,15008357.0,18507262.0,20893516.0,15994739.0,14111270.0,15175865.0,19769049.0,21401751.0,16154034.0,21547444.0,24893845.0,20861304.0,15329206.0,15665599.0
AXON,16105547000,NASDAQ,74760000,12420000,45139000,29175000,12131000,50962000,54871000,-13508000,48524000.0,2001-07-31,5591577.0,9316809.0,17184807.0,12556576.0,17784184.0,42334688.0,11828929.0,17738054.0,17790326.0,13041637.0,10759169.0,13913475.0,9549892.0,8528907.0,7691431.0,5385528.0,9858125.0,10683173.0,7888319.0,9037170.0,7428837.0,13142790.0,12365133.0,12606206.0
AXP,111278957000,NYSE,736459000,2174000000,1816000000,1572000000,1879000000,1964000000,2099000000,1719000000,1826000000.0,,37612394.0,59824430.0,53848022.0,61314390.0,63737208.0,65407276.0,60871010.0,90830651.0,56741203.0,80777285.0,53953591.0,59588876.0,75510462.0,66252580.0,54976973.0,78378421.0,76144920.0,68020551.0,67036471.0,102429917.0,78105887.0,94753520.0,83511760.0,82442869.0
AZO,45583565000,NYSE,17857000,647723000,476544000,539318000,810043000,592571000,471755000,555235000,785771000.0,,1561654.0,2892751.0,2943219.0,2969835.0,4844403.0,4004508.0,2598990.0,3537878.0,3117754.0,2918434.0,3224353.0,2705822.0,3618030.0,3584242.0,3009928.0,3057002.0,3743451.0,4869154.0,3568826.0,4685387.0,3647170.0,3421659.0,3538816.0,3083841.0
BA,111538446000,NYSE,603204000,-149000000,-414000000,-634000000,-3275000000,193000000,-1219000000,-4143000000,-109000000.0,1999-12-31,79660075.0,87454224.0,103509380.0,125794651.0,130186700.0,96888132.0,110140628.0,138822143.0,104444636.0,148282768.0,141672627.0,162175392.0,167075874.0,151412882.0,144164383.0,183908992.0,239347869.0,229167552.0,182224994.0,243121678.0,167196677.0,218960776.0,212733198.0,222341554.0
BAC,212644872000,NYSE,7946370000,7408000000,8161000000,7132000000,7082000000,6247000000,7067000000,7013000000,7691000000.0,1999-12-31,725773952.0,777451878.0,809878670.0,969011143.0,968715554.0,1045809816.0,1025895355.0,2061226932.0,616793033.0,809281312.0,893060314.0,700367359.0,981004754.0,859146085.0,819301541.0,814269073.0,996449647.0,1107614816.0,1027651766.0,1307316332.0,941500631.0,1222661378.0,1060458023.0,894160678.0
