Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
BAC,9224000000,8050000000,5470000000,4881000000,3533000000,4010000000,6994000000,5777000000
BAC,8050000000,5470000000,4881000000,3533000000,4010000000,6994000000,5777000000,9224000000
BAH,92102000,199177000,144371000,136081000,129329000,138866000,112026000,114325000
BAH,199177000,144371000,136081000,129329000,138866000,112026000,114325000,92102000
BALL,202000000,200000000,227000000,241000000,94000000,23000000,123000000,92000000
BALL,200000000,227000000,241000000,94000000,23000000,123000000,92000000,202000000
BAX,298000000,298000000,168000000,356000000,246000000,332000000,-23000000,369000000
BAX,298000000,168000000,356000000,246000000,332000000,-23000000,369000000,298000000
BBWI,374000000,277000000,859000000,331000000,-49000000,-297000000,-192000000,-252000000
BBWI,277000000,859000000,331000000,-49000000,-297000000,-192000000,-252000000,374000000
BBY,734000000,595000000,816000000,391000000,432000000,159000000,745000000,293000000
BBY,595000000,816000000,391000000,432000000,159000000,745000000,293000000,734000000
BC,179400000,169300000,95100000,137900000,70700000,69000000,67100000,-239300000
BC,169300000,95100000,137900000,70700000,69000000,67100000,-239300000,179400000
BDX,525000000,299000000,1003000000,128000000,286000000,183000000,278000000,163000000
BDX,299000000,1003000000,128000000,286000000,183000000,278000000,163000000,525000000
BEN,438400000,381800000,345300000,78900000,290400000,79100000,350500000,306400000
BEN,381800000,345300000,78900000,290400000,79100000,350500000,306400000,438400000
BEPC,611000000,-9000000,-1516000000,-1295000000,-5000000,75000000,56000000,3000000
BEPC,-9000000,-1516000000,-1295000000,-5000000,75000000,56000000,3000000,611000000
BERY,194000000,181000000,130000000,195000000,191000000,126000000,47000000,229000000
BERY,181000000,130000000,195000000,191000000,126000000,47000000,229000000,194000000
BF.A,,,,,,,,
BF.A,,,,,,,,
BF.B,,,,,,,,
BF.B,,,,,,,,
BFAM,18815000,7132000,2555000,-6654000,359000,30732000,47763000,41254000
BFAM,7132000,2555000,-6654000,359000,30732000,47763000,41254000,18815000
BG,362000000,831000000,551000000,262000000,516000000,-184000000,-51000000,-1488000000
BG,831000000,551000000,262000000,516000000,-184000000,-51000000,-1488000000,362000000
BHF,31000000,-585000000,-1032000000,-2995000000,-1991000000,4957000000,-1070000000,683000000
BHF,-585000000,-1032000000,-2995000000,-1991000000,4957000000,-1070000000,683000000,31000000
BIIB,448500000,410200000,357900000,701500000,1542100000,1399100000,1439700000,1545900000
BIIB,410200000,357900000,701500000,1542100000,1399100000,1439700000,1545900000,448500000
BILL,-41862000,-26728000,-17179000,-12951000,-9498000,-8319000,-7578000,-5696000
BILL,-26728000,-17179000,-12951000,-9498000,-8319000,-7578000,-5696000,-41862000
BIO,916800000,980000000,839200000,1314800000,966400000,685900000,553500000,-258800000
BIO,980000000,839200000,1314800000,966400000,685900000,553500000,-258800000,916800000
BJ,110988000,81579000,95882000,122796000,106618000,95734000,41763000,55092000
BJ,81579000,95882000,122796000,106618000,95734000,41763000,55092000,110988000
BK,1022000000,927000000,750000000,937000000,950000000,980000000,1440000000,1038000000
BK,927000000,750000000,937000000,950000000,980000000,1440000000,1038000000,1022000000
BKI,,,,,,,,
BKI,,,,,,,,
BKNG,-167000000,-55000000,-165000000,801000000,122000000,-699000000,3339000000,1950000000
BKNG,-55000000,-165000000,801000000,122000000,-699000000,3339000000,1950000000,-167000000
BKR,-68000000,-452000000,652000000,-170000000,-195000000,-10227000000,48000000,57000000
BKR,-452000000,652000000,-170000000,-195000000,-10227000000,48000000,57000000,-68000000
BLD,90380000,59842000,70757000,69996000,55496000,50771000,45985000,54976000
BLD,59842000,70757000,69996000,55496000,50771000,45985000,54976000,90380000
BLDR,497235000,172580000,139914000,85932000,78924000,8767000,41367000,78130000
BLDR,172580000,139914000,85932000,78924000,8767000,41367000,78130000,497235000
BLK,1378000000,1199000000,1548000000,1364000000,1214000000,806000000,1301000000,1119000000
BLK,1199000000,1548000000,1364000000,1214000000,806000000,1301000000,1119000000,1378000000
BMRN,12941000,17371000,17028000,784803000,-29183000,81381000,15024000,55036000
BMRN,17371000,17028000,784803000,-29183000,81381000,15024000,55036000,12941000
BMY,1055000000,2021000000,-10027000000,1872000000,-85000000,-775000000,-1056000000,1353000000
BMY,2021000000,-10027000000,1872000000,-85000000,-775000000,-1056000000,1353000000,1055000000
BOKF,166421000,146060000,154224000,154034000,64693000,62079000,110352000,142231000
BOKF,146060000,154224000,154034000,64693000,62079000,110352000,142231000,166421000
BPOP,218079000,262632000,176276000,168416000,127628000,34302000,166785000,165319000
BPOP,262632000,176276000,168416000,127628000,34302000,166785000,165319000,218079000
BR,260400000,165000000,56300000,65800000,229700000,166800000,10100000,55900000
BR,165000000,56300000,65800000,229700000,166800000,10100000,55900000,260400000
BRK.B,,,,,,,,
BRK.B,,,,,,,,
BRKR,57600000,56700000,68900000,54300000,24100000,10500000,68600000,61300000
BRKR,56700000,68900000,54300000,24100000,10500000,68600000,61300000,57600000
BRO,139300000,199700000,97320000,133979000,96784000,152400000,76519000,115506000
BRO,199700000,97320000,133979000,96784000,152400000,76519000,115506000,139300000
BRX,90428000,52371000,269410000,27944000,9044000,59781000,293149000,80854000
BRX,52371000,269410000,27944000,9044000,59781000,293149000,80854000,90428000
BSX,186000000,341000000,-62000000,-155000000,-147000000,11000000,-223000000,126000000
