Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
CCK,16598639,14507065,19323696,19685150,51975635,17698811,19851916,19480060,18608955,24208040,27128836,30232305,46922383,31796557,25922030,27285247,23864649,24697719,28659377,27921662,23700003,21478327,19271046,24576766
CFR,6240204,8612408,8908051,14175446,10842871,14551021,11564105,21583516,7449509,8310549,9073144,7006199,8965611,10565208,5943108,5575887,8299672,7888874,8378464,9177156,7661857,9224833,5467362,5515011
OZK,14481542,18314038,19040862,42758031,30358476,39952398,44873236,57483792,14322883,20099900,16447989,13012008,22152899,15483315,10370014,16484585,18740738,16729371,22292569,16186443,10170247,15055931,11379251,9820449
WU,59475472,104053976,78481032,91828841,113666819,145773203,108730587,280811613,186215619,85627049,105929457,108106782,111395065,99917555,87973093,62771852,71744388,80421803,74949636,138247053,109964894,128229349,228434203,142158019
MTG,26163449,33939306,42121958,35408546,50285072,46868032,37805684,96041273,47757710,60629621,61547126,64065525,79570559,55855668,54109665,45397209,63101201,66027912,57314512,96691839,57778087,65861549,73116303,61264014
ENTG,18113315,21451077,26326128,23225626,31121126,45716808,26851389,30874068,40521324,32387443,39747770,47484275,30433629,32032328,26991076,31949847,36784523,25336050,29523231,31315938,24896104,27481979,25042116,26951316
RNR,5904565,6263913,9483870,9007933,9226679,16280921,4815855,7601247,7311927,6126557,6281697,9765482,10529124,10914701,7888532,8650199,5753216,6615694,6448997,9250053,9732816,7950637,8973777,13107028
RGA,5166303,7263862,7586041,7011885,8990328,8796460,6583540,11515323,9676777,6922034,8653334,10823091,8933294,7493797,6816411,6110822,7344797,9203532,6341868,9793513,8154465,9186441,10179080,10669427
WAL,29223211,29567142,36156420,64480301,64745733,269172026,113363186,344364974,16645140,20053712,20406405,14747096,23455132,16007254,10670115,12882344,15172452,13758685,21118379,23133429,17722131,21228530,17500398,12248571
JBL,27535623,30739054,32382668,20380240,26224471,18887204,18900217,32037546,23401385,30675502,24110914,26131697,24308866,25450348,17744391,16984797,23620156,15698059,18145736,31587554,28796812,24886460,24328141,14331092
LLYVK,5274368,10112447,,,,,,,,,,,,,,,,,,,,,,
LSXMA,12522778,25994405,29496865,25790752,19830346,25414848,18176758,50798417,16937896,10989148,11519861,16083572,14254570,14548284,15946334,14050812,14177249,20445096,11137031,21456500,21811279,15437084,16719749,16587555
FWONK,12544186,19089946,18196645,16302258,21380737,17924748,13122402,23279814,14409128,17299609,19034035,25568597,19484811,21910501,29024665,15711461,22473136,33306290,21119963,32217655,24322086,27232185,23289479,27387016
UHAL,1938366,2181485,3052004,3342087,4623716,4817461,3685834,5640264,5802009,5598695,9797667,11578977,1210916,1243840,899370,699482,1035077,1105776,1091553,1446703,1437053,887178,1005404,1016964
UTHR,3759187,5365306,8606751,6439761,7068627,10157011,7235010,15200652,11921039,6899996,7833842,9103855,5968111,7572405,9627966,8122973,10959535,11993358,7589928,10887110,8907516,8895531,8098122,8990190
LAD,3258646,3481211,4178157,6370834,6361428,6541753,7639925,7507412,6456090,6465188,7920929,9457064,12072226,8370927,6399608,7000613,5849731,8741218,7995360,5821877,7280207,7959502,7706756,8395977
PAG,3843903,5969141,12612432,5769568,5973817,7027694,6180005,8319595,8062767,6529405,10342400,8889742,10068851,12832725,7210006,8111981,8625133,6961788,7702436,7188136,7464628,5595776,6848709,7369676
RITM,50065381,76021201,75338269,86024753,80863478,85904263,68342115,115730101,90822021,78904073,130192601,87239208,124229707,107865247,75128990,82930231,178001169,145099603,93833420,120456561,115048963,108796526,110716267,85717707
RS,4690570,6323496,5066529,5093344,7406427,8038345,8225362,14369570,13517427,6614788,8105269,7801780,10044940,9939333,7079953,7818642,8931468,10207143,7974769,11733464,7841924,6457930,6166960,7499957
TOL,25480168,37292687,40434341,30958687,38430644,36758353,22578374,35913491,30330078,26941817,34240099,27172439,37526982,42268162,37637883,28460353,34761247,35331980,36818302,41001609,37391916,45994287,41758558,16870936
X,75701690,118311215,371275106,135061050,144388657,157279274,119217343,184089042,135628894,114491342,150861087,179411264,245475760,293561206,213129793,246788616,303243461,280569366,256787663,493859686,335696754,440161280,316560338,357979650
SCCO,12800165,19925268,23547672,21612688,22877017,28411246,21112641,31037156,21938077,34321944,20230116,32471583,36016996,28978980,33165290,32587776,29263789,34173617,21454505,28298280,20916175,23465179,20966363,20922526
FERG,21281260,22870165,16950427,21150874,41501316,29807827,22924160,33573015,22758023,26988192,99582424,49289770,18572335,15008633,10397919,9920855,16202547,15821286,8352715,9109847,830275,770557,867641,289508
LEN-B,890509,1437499,1580388,1586291,1609703,1365027,1481707,1403038,1427388,1693613,1622532,1443378,1634741,1829867,1746754,1932470,2717236,2359180,2758801,2203728,2083115,2212147,1809985,980701
