Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
BKI,11876213000,NYSE,156761000,55300000,141800000,17600000,30000000,40300000,364600000,60700000,53400000,21296864,93435186,43568605,17654270,23707975,22382179,35581435,23998397,18100056,12893128,21151556,18110528,18087493,13018068,11704427,19867494,56425525,32352048,33862531,27540708,12541665,20077211,20728636,14198166
BLD,7254002000,NYSE,31757300,164400000,135870000,143833000,153746000,143697000,114711000,78358000,95435000,3794890,5072411,5321081,4187993,5513924,4623161,4504912,4977689,4841633,5138425,5597375,10148648,5321952,6473853,5398663,4677180,6336312,5885442,5071097,6831634,4547837,6192752,5107408,4328623
BLDR,13927871000,NYSE,125037000,404619000,333786000,384513000,738007000,987209000,639640000,442456000,613145000,21405721,30844424,36727406,26579794,54772642,61974614,39752682,50835792,31092011,29347830,44526636,40070817,41752894,52211939,44970985,48457770,66539740,62909539,52290494,59774617,41193859,57321483,66457398,51211025
BMRN,15541373000,NASDAQ,188175000,,,,,,,,,16430697,25698620,25463938,25673309,28921000,21025712,22084236,36816927,24791749,33924187,27503905,33587717,30424046,20788349,24564970,16864353,29522226,24577528,23792880,27524971,26417122,28365591,23646465,35866031
BOKF,5047382000,NASDAQ,66369000,151308000,162368000,168429000,156510000,132846000,62488000,117318000,188322000,2897416,3338453,3329889,4169019,4346213,4873181,3585516,6997235,2551330,3867239,6166804,3512868,4292893,3650460,4262718,4866802,4954925,3686932,3169127,4696691,3309921,4521441,3552057,2818500
BPOP,4546930000,NASDAQ,72128000,151160000,158979000,257139000,422395000,211421000,211686000,206064000,248114000,4668811,8250753,7629521,9047593,9791229,11642823,13581058,28870023,8601462,10581499,11499415,9692258,16103054,11894640,10844719,9648830,13489320,10523023,11547433,21784832,10136724,16399923,8213073,7244162
BRKR,8759781000,NASDAQ,146853000,57100000,76500000,97400000,88100000,49500000,61600000,75700000,87100000,8684128,19356895,20493963,15988620,17338376,20889181,17347987,18518727,12486998,12719497,9979031,15140896,15359130,16259272,17054062,12037607,16749464,17249506,14836750,19072131,16723171,15301573,33898950,20460662
BRX,6096026000,NYSE,300593000,,,,,,,,,42637536,49910546,45432077,36339887,45917656,47956450,37715455,57436645,55977761,49201139,49098691,45503247,52840483,45114921,32885740,34852070,52787563,49071380,41004030,68681499,57770538,64980160,50670494,43851133
BSY,15450320000,NASDAQ,283365000,48685000,45490000,25722000,36997000,55673000,56388000,38581000,-48022000,15865458,18549292,21771434,13446136,22426772,25889412,10876585,19320178,13264703,13750652,16732573,21038281,15603228,19863832,15505309,11529460,21769777,32325537,21443704,23388425,14454876,22488635,19926384,20354567
BURL,7802196000,NYSE,64684000,30892000,32748000,185200000,16783000,11966000,16174000,121636000,13619000,20006589,23750605,33080738,23015989,28039736,27608217,16957327,26276077,16089595,17113549,20223989,36595250,30206290,23437479,29090501,21162629,19396307,29691590,16320598,25418037,12516877,20385916,13372926,17905431
BWXT,7059361000,NYSE,91466000,58597000,61092000,42965000,61603000,74613000,59010000,116861000,59914000,7699716,11322510,13941088,11297695,33205666,10654177,7977764,15329342,9589110,9639609,8494294,13772197,9548251,10616536,12662763,9979634,13132747,10179665,10901457,20463314,16434802,16492090,21396434,14129000
BYD,5981718000,NYSE,100012000,192454000,199731000,172684000,157002000,146763000,162928000,109782000,138174000,9952476,18439367,14938079,15807414,16477911,20417581,17493098,20859756,20717545,13733525,20726891,18576298,18410818,25469256,20710346,18968751,27327780,23581559,21561935,29259438,25564613,19954005,23253421,25033040
CABO,3516118000,NYSE,5622100,55246000,57426000,-77210000,70607000,69245000,171476000,64835000,52255000,748312,991885,1276982,1305051,1600159,1183722,862221,1462177,1149472,1207185,1713544,3227418,1899047,1180277,1034722,923178,1099578,1455235,827116,791474,667821,903823,728973,580041
CACC,5365834000,NASDAQ,12822200,22200000,99500000,127300000,86800000,107400000,214300000,217600000,250000000,825737,1056728,1708911,1346763,1379895,1448271,1221499,1817846,2537502,3311028,2052408,2434725,1735894,1609869,1270424,1120101,1520987,2265525,1675444,2608027,1844762,1473687,2280709,2442703
CACI,7509271000,NYSE,22656500,,,,,,,,,1608055,3141720,3166381,2033230,3684294,3403128,2795733,3862285,2707686,3563777,2361839,2635824,2956646,2599621,3618762,2669568,2918568,3107912,2914983,4595956,3597878,2792675,3035976,1915003
CAR,6553073000,NASDAQ,38738900,435000000,312000000,423000000,1034000000,778000000,529000000,382000000,675000000,7336125,9164192,14867845,8033841,11199827,9909214,9044013,10730761,10810016,12099061,18313375,15655040,21306736,26359062,19733568,14143280,24112806,22891066,19190382,24951726,23176305,16703856,24802588,62369531
CASY,10025091000,NASDAQ,37266600,169237000,56092000,100112000,137555000,152932000,59776000,64024000,96831000,3490907,6751302,4344850,4715598,7730993,4783832,4526460,6352190,4574897,4793261,6055038,4471236,6015727,5797638,4856281,5945376,7344990,6088805,5002043,7673025,4107044,4806743,6240734,3280092
CAVA,None,NYSE,0,6539000,-2141000,-18846000,-11893000,-8230000,-20018000,-20519000,,19407939,34333761,37875916,38882461,,,,,,,,,,,,,,,,,,,,
CBSH,5789821000,NASDAQ,124700000,127789000,119452000,131628000,122823000,115794000,118154000,114906000,122561000,,,,,,,,,,,,,,,,,,,,,,,,
CC,3706367000,NYSE,148077000,-376000000,145000000,-97000000,240000000,201000000,234000000,233000000,214000000,,,,,,,,,,,,,,,,,,,,,,,,
CCCS,7775175000,NASDAQ,632128000,-97344000,2184000,1072000,9795000,15564000,11975000,-57869000,-189782000,,,,,,,,,,,,,,,,,,,,,,,,
CCK,9638649000,NYSE,120649000,157000000,102000000,89000000,127000000,295000000,216000000,-1001000000,102000000,,,,,,,,,,,,,,,,,,,,,,,,
CELH,13219903000,NASDAQ,76891000,51509000,41227000,-21223000,-181896000,9158000,6679000,11942000,-9371000,,,,,,,,,,,,,,,,,,,,,,,,
CERT,2195322000,NASDAQ,159776000,4706000,1358000,9174000,3936000,-589000,2210000,-9699000,-1762000,,,,,,,,,,,,,,,,,,,,,,,,
CFLT,8867014000,NASDAQ,211915000,-103425000,-152555000,-105884000,-116049000,-117631000,-112987000,-114439000,-95666000,,,,,,,,,,,,,,,,,,,,,,,,
CFR,5857645000,NYSE,64123000,162118000,177653000,191174000,169760000,119114000,99102000,101021000,107975000,,,,,,,,,,,,,,,,,,,,,,,,
CG,9913079000,NASDAQ,359952000,-98400000,100700000,-1667300000,280800000,245400000,571600000,647600000,532800000,,,,,,,,,,,,,,,,,,,,,,,,
CGNX,6380012000,NASDAQ,172293000,57474000,25615000,55311000,33980000,58901000,67333000,53535000,78900000,,,,,,,,,,,,,,,,,,,,,,,,
CHDN,8400313000,NASDAQ,74869000,143000000,155700000,1000000,57000000,339300000,42100000,43300000,61400000,,,,,,,,,,,,,,,,,,,,,,,,
CHE,7825208000,NYSE,15076600,53377000,54121000,62126000,56873000,66456000,64169000,74625000,72003000,,,,,,,,,,,,,,,,,,,,,,,,
CHH,5809545000,NYSE,50378000,84710000,52820000,55513000,103080000,106168000,67391000,64083000,116655000,9373398,7427751,10659468,9073000,9340159,13858262,7302452,8127966,6773526,6447061,7040995,8952372,10024540,11104760,9752182,4759544,7445951,6151499,4378874,5737861,6472300,6908229,4734629,5886847
CHK,11828691000,NASDAQ,132356000,391000000,1389000000,3580000000,883000000,1237000000,-764000000,1434000000,-345000000,26127135,27139108,62173312,23538104,23530474,33789748,24229629,34284580,34486024,32473862,34101734,44367760,39508425,41626115,57736166,36609819,64632614,49429342,32671745,46337197,33069633,32329789,21015804,28472217
CHPT,1380902000,NYSE,401425000,-125255000,-79388000,-78662000,-84480000,-92700000,-89266000,-60149000,-69442000,321653885,296428652,149395624,206623575,316538932,179893921,164891980,198439622,168431297,210120201,230810124,161156663,156494843,236807805,222396952,193671457,236632083,225689004,161031303,216837761,176574744,208140499,240267851,219619048
CIEN,6227105000,NYSE,147842000,29733000,57654000,76241000,57645000,10512000,38922000,45823000,103499000,21145526,27289540,38922260,39420953,57129745,33981448,28177843,49923703,28487548,24864950,50174660,36889374,31698442,49666835,27200197,21557201,42032319,30587374,21134465,42647223,32224901,35868958,41121019,22545599
CLF,7319934000,NYSE,508682000,347000000,-57000000,-214000000,152000000,596000000,801000000,893000000,1274000000,132020108,201249190,268664749,164159283,165434667,205914785,200781171,231680928,187627436,230823685,263004242,270527828,299292863,308403796,258948458,370457111,379538575,372106697,393461294,638281009,388382570,478564478,376880487,383284831
CLH,8601313000,NYSE,54151000,115766000,72401000,82474000,135799000,148157000,45314000,48993000,65443000,3384422,5471639,7068224,7026251,8675006,8909640,6173875,11889640,6939985,5589574,6290885,9750332,8421575,9302858,9197879,4491938,6611090,9993102,7617367,13434228,8877113,6670262,8201404,7563608
CLVT,4578104000,NYSE,676234000,-123100000,43500000,323400000,-4415500000,62400000,69500000,-111400000,28400000,70740683,124187905,218086773,68750809,94369002,151072416,85181626,139117999,82507905,177091607,131219736,150699249,162595208,174987296,127857723,75185291,106330048,124961008,67307706,146424388,153706426,115112840,84731704,88639005
CNA,10921157000,NYSE,270862000,283000000,297000000,248000000,128000000,190000000,295000000,266000000,256000000,1912243,2803975,7737355,2945678,4558249,3564404,2677390,5473976,4864106,2667355,3890399,3426536,4832200,10254888,5075920,3145517,2806615,3218472,2745442,4438300,4050220,2580333,2313315,2668811
CNHI,15189856000,NYSE,1330110000,706000000,482000000,592000000,556000000,548000000,333000000,302000000,323000000,81263861,200868800,95829139,109484483,203229493,122406694,92271113,109098740,106321576,68254357,84733551,93139536,87274545,70558584,72291133,73018328,81505788,100541104,89337883,169517441,146111679,123716089,89340083,91838183
CNM,7230892000,NYSE,172926000,110000000,86000000,54000000,111000000,115000000,86000000,28000000,64000000,28583749,51476911,17752644,15907516,39069908,17308043,26102822,23998845,11754310,12251161,18701339,14817747,15674177,25181583,6394017,7075208,12523462,11242129,9478828,19044171,14609943,45108800,10613092,5590007
