Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
AVB,8443609,13452046,12524952,14753391,15144561,13961527,18348669,18975111,17368481,17117079,15946930,20613216,16678609,15296080,13614361,14166397,17522370,18661343,16750071,14391359,13335612,14640835,16920891,12815317
AVGO,27401040,48036085,50364266,48919999,73742147,70272948,31290675,60280066,37615315,44559905,53360264,46078358,48153340,57348125,39870067,39440815,46829524,60933585,42488523,54974241,45150977,62674774,60258010,34352805
AVY,5401482,9200056,9643792,13307438,11087475,14015627,10910572,10510431,11963668,8866891,10300557,11467194,11512637,9556168,8398171,9136702,11671259,11900540,14375410,16018572,13734980,8998401,8159698,8853446
AWK,19002991,21833389,19498609,17767561,22235510,18423095,15394832,39391165,22166871,14645589,15008357,18507262,20893516,15994739,14111270,15175865,19769049,21401751,16154034,21547444,24893845,20861304,15329206,15665599
AXON,5591577,9316809,17184807,12556576,17784184,42334688,11828929,17738054,17790326,13041637,10759169,13913475,9549892,8528907,7691431,5385528,9858125,10683173,7888319,9037170,7428837,13142790,12365133,12606206
AXP,37612394,59824430,53848022,61314390,63737208,65407276,60871010,90830651,56741203,80777285,53953591,59588876,75510462,66252580,54976973,78378421,76144920,68020551,67036471,102429917,78105887,94753520,83511760,82442869
AZO,1561654,2892751,2943219,2969835,4844403,4004508,2598990,3537878,3117754,2918434,3224353,2705822,3618030,3584242,3009928,3057002,3743451,4869154,3568826,4685387,3647170,3421659,3538816,3083841
BA,79660075,87454224,103509380,125794651,130186700,96888132,110140628,138822143,104444636,148282768,141672627,162175392,167075874,151412882,144164383,183908992,239347869,229167552,182224994,243121678,167196677,218960776,212733198,222341554
BAC,725773952,777451878,809878670,969011143,968715554,1045809816,1025895355,2061226932,616793033,809281312,893060314,700367359,981004754,859146085,819301541,814269073,996449647,1107614816,1027651766,1307316332,941500631,1222661378,1060458023,894160678
BALL,29189327,36540755,38416230,26384665,51172665,40577208,28812475,37050087,39922323,31368064,33538697,48177638,42411172,57129669,69230883,35446308,46605038,54557980,34737388,41209936,30451900,42245273,40098926,36219228
BAX,104292382,78464432,78436943,113226345,97692787,115673941,127949785,135047875,139859524,128056115,104880936,94361353,88276268,64723178,72055207,56848072,64780184,61758279,72352401,78416120,68906960,50626006,51907844,44161413
BBWI,36295710,61772520,86976680,77642539,83750702,83434642,63509589,76108137,60946654,56546012,68857998,109463785,68066447,67367308,94986609,101415246,121458817,149207686,80836317,103213585,95014695,82900336,54354022,61823396
BBY,25684999,41068752,55491384,39040977,50968308,57522391,36860607,66759586,38868860,43088410,57001800,82578734,52986454,53858736,67595151,58788990,73575329,97901039,44586557,89626208,46693736,65023494,72871847,72928774
BDX,12084613,24178509,28380441,25888761,24037972,26459724,19414921,22298870,24244034,22202325,25223919,40882918,25512334,24310229,19756588,16321385,23442627,25818006,22770259,28914895,27701502,29123503,28706580,32397476
BEN,42571989,48692216,54307967,79074063,59812064,65076658,54771008,95939731,64494527,88845753,69328115,75298841,66767446,65541641,48709245,63121923,58365495,73590208,72595649,72790921,56509406,64398782,53598081,57926406
BF.B,,,,,,,,,,,,,,,,,,,,,,,,
BG,17108920,21507135,27290181,22603744,31342683,26657426,20684472,76716134,21410312,19820369,23864090,26625259,27506318,23259183,29738785,29760743,36437319,32016746,37163383,46192882,29162143,20318898,17765641,21472280
BIIB,11878739,16166057,18354823,28761850,23456234,21337604,17344088,19959286,17527706,24120700,23482533,27708443,35183916,44139348,17163818,18745104,24800028,25691619,19977931,23828274,21682174,39097677,36743439,25754352
BIO,2402408,3408003,3790782,4429190,4567986,5941770,2358189,4042627,3486333,3082069,3262551,5777531,6034602,3494353,2666649,3525991,3345647,5197834,4952388,4439137,5482622,4015212,2748937,2134067
BK,64804902,95608058,78183408,103484787,102247194,97699339,111465224,153750882,90175648,131186790,87226671,93213974,133213284,96719622,60108494,62725041,101478873,107682843,104115795,149846786,108611093,106502392,89172995,73726786
BKNG,2922585,5150629,6814015,5835096,6665953,8128936,4890087,8014375,6524538,6036797,6442774,8227076,7620900,9154401,8505061,7602498,9336413,10118676,7112190,12086626,10135275,7170392,7848034,8945272
BKR,76423795,149497864,120580656,172389182,145725870,157764657,117191617,178137861,116905610,126886555,180263018,158958793,185197772,232094541,198335822,196886263,221270003,209931789,233873645,349553044,161694289,201193635,150194611,188344312
